match_id,matchweek,date,team,opponent,player_name,availability_status,issue_type,body_part_or_reason,expected_return,player_importance,starter_probability_if_fit,minutes_expectation_if_fit,impact_score,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
,,,AFC Bournemouth,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Arsenal,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Aston Villa,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Brentford,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Brighton & Hove Albion,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Chelsea,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Coventry City,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Crystal Palace,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Everton,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
,,,Fulham,,,unknown,unknown,,,,,,,none_available,,2026-08-17T22:26:26+00:00,False,unavailable,"No verified live injury/suspension feed is connected to this pipeline. This is a team-level 'unknown' sentinel, not a real report -- downstream features must set home/away_missing_injury_data_flag=True from this row and MUST NOT treat it as 'fully healthy'."
